id,van_ban,so_linh_vuc,linh_vuc,dieu_kien_lao_dong,phan_loai,stt,ten_nghe_cong_viec,dac_diem_dieu_kien_lao_dong
1,TT 11/2020/TT-BLĐTBXH,I,KHAI THÁC KHOÁNG SẢN,Loại VI,"Đặc biệt nặng nhọc, độc hại, nguy hiểm",1,Khoan đá bằng búa máy cầm tay trong hầm lò,"Nơi làm việc chật hẹp, thiếu ánh sáng, thiếu dưỡng khí, công việc nặng nhọc, nguy hiểm ảnh hưởng bụi, ồn và rung vượt tiêu chuẩn cho phép nhiều lần"
2,TT 11/2020/TT-BLĐTBXH,I,KHAI THÁC KHOÁNG SẢN,Loại VI,"Đặc biệt nặng nhọc, độc hại, nguy hiểm",2,Khai thác mỏ hầm lò,"Nơi làm việc chật hẹp, thiếu dưỡng khí, công việc thủ công, rất nặng nhọc, nguy hiểm, chịu tác động của bụi, ồn, CO2."
3,TT 11/2020/TT-BLĐTBXH,I,KHAI THÁC KHOÁNG SẢN,Loại VI,"Đặc biệt nặng nhọc, độc hại, nguy hiểm",3,"Sấy, nghiền, trộn, đóng gói, vật liệu nổ","Công việc độc hại, nguy hiểm, thường xuyên tiếp xúc với nhiệt độ cao, ồn, bụi và hóa chất độc (TNT, Cl2, Licacmon...)"
4,TT 11/2020/TT-BLĐTBXH,I,KHAI THÁC KHOÁNG SẢN,Loại VI,"Đặc biệt nặng nhọc, độc hại, nguy hiểm",4,Lái máy xúc dung tích gầu từ 8m3 trở lên,"Công việc nặng nhọc, tư thế lao động gò bó, chịu tác động của bụi, ồn và rung vượt tiêu chuẩn cho phép nhiều lần."
5,TT 11/2020/TT-BLĐTBXH,I,KHAI THÁC KHOÁNG SẢN,Loại VI,"Đặc biệt nặng nhọc, độc hại, nguy hiểm",5,Đội viên cứu hộ mỏ,Nghề đặc biệt nguy hiểm
6,TT 11/2020/TT-BLĐTBXH,I,KHAI THÁC KHOÁNG SẢN,Loại VI,"Đặc biệt nặng nhọc, độc hại, nguy hiểm",6,Khai thác quặng kim loại màu bằng phương pháp hầm lò,"Nơi làm việc chật hẹp, thiếu dưỡng khí, ẩm ướt, công việc thủ công, rất nặng nhọc, nguy hiểm, chịu tác động của bụi, ồn, khí CO2"
7,TT 11/2020/TT-BLĐTBXH,I,KHAI THÁC KHOÁNG SẢN,Loại VI,"Đặc biệt nặng nhọc, độc hại, nguy hiểm",7,"Vận hành các thiết bị công nghệ luyện kim bằng phương pháp thủy, hỏa luyện (đồng, kẽm, thiếc, Titan, Crom, Vonfram,...)","Làm việc trong môi trường nhiệt độ cao, bụi, asen, hơi khí độc, hóa chất"
8,TT 11/2020/TT-BLĐTBXH,I,KHAI THÁC KHOÁNG SẢN,Loại V,"Đặc biệt nặng nhọc, độc hại, nguy hiểm",1,Khoan khai thác đá bằng búa máy cầm tay,"Làm việc trên các sườn núi đá, công việc nặng nhọc, nguy hiểm ảnh hưởng của bụi, ồn và rung rất lớn"
9,TT 11/2020/TT-BLĐTBXH,I,KHAI THÁC KHOÁNG SẢN,Loại V,"Đặc biệt nặng nhọc, độc hại, nguy hiểm",2,"Vận hành khoan xoay cầu, khoan búa ép hơi","Làm ngoài trời, nguy hiểm, tiếp xúc thường xuyên với ồn cao và bụi vượt tiêu chuẩn cho phép rất nhiều lần"
10,TT 11/2020/TT-BLĐTBXH,I,KHAI THÁC KHOÁNG SẢN,Loại V,"Đặc biệt nặng nhọc, độc hại, nguy hiểm",3,Sửa chữa cơ điện trong hầm lò,"Nơi làm việc chật hẹp, nguy hiểm, tư thế lao động gò bó, chịu tác động của ồn, bụi than"
