van_ban,phu_luc,nhom,muc_cha,stt,ma_hs,mo_ta
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,"1. Phế liệu sắt, thép, gang",,1.1,72041000,Phế liệu và mảnh vụn của gang đúc
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,"1. Phế liệu sắt, thép, gang",,12,72042100,"Phế liệu và mảnh vụn của thép hợp kim: Bằng thép không gỉ ,"
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,"1. Phế liệu sắt, thép, gang",,1.3,72042900,Phế liệu và mảnh vụn của thép hợp kim: Loại khác
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,"1. Phế liệu sắt, thép, gang",,1.4,72043000,Phế liệu và mảnh vụn của sắt hoặc thép tráng thiếc
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,"1. Phế liệu sắt, thép, gang",,1.5,72044100,"Phế liệu và mảnh vụn khác: Phoi tiện, phoi bào, mảnh vỡ, vảy cán, mạt cưa, mạt giũa, phoi cắt và bavia, đã hoặc chưa được ép thành khối hoặc đóng thành kiện, bánh, bó"
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,"1. Phế liệu sắt, thép, gang",,1.6,72044900,Phế liệu và mảnh vụn khác: Loại khác
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,2. Phế liệu và mẩu vụn của nhựa (plastic),,2.1,39151010,"Từ các polyme từ etylen: Dạng xốp, không cứng"
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,2. Phế liệu và mẩu vụn của nhựa (plastic),,2.2,39151090,Từ các polyme từ etylen: Loại khác
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,2. Phế liệu và mẩu vụn của nhựa (plastic),,2.3,39152090,"Từ các polyme từ styren: Loại khác: Polyme Styren (PS), Acrylonitrin Butadien Styren (ABS); High Impact Polystyrene (HIPS); Expanded Polystyrene (EPS)"
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,2. Phế liệu và mẩu vụn của nhựa (plastic),,2.4,39153090,Từ các polyme từ vinyl clorua: Loại khác
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,2. Phế liệu và mẩu vụn của nhựa (plastic),2.5. Từ plastic khác:,,39159010,Từ poly (etylene terephthalate) (PET)
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,2. Phế liệu và mẩu vụn của nhựa (plastic),2.5. Từ plastic khác:,,39159020,Từ polypropylene (PP)
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,2. Phế liệu và mẩu vụn của nhựa (plastic),2.5. Từ plastic khác:,,39159030,Từ polycarbonate (PC)
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,2. Phế liệu và mẩu vụn của nhựa (plastic),2.5. Từ plastic khác:,,39159090,Loại khác: Polyamit (PA); Poly Oxy Methylene (POM); Poly Methyl Methacrylate (PMMA); Thermoplastic Polyurethanes (TPU); Ethylene Vinyl Acetate (EVA); Nhựa Silicon loại ra từ quá trình sản xuất và chưa qua sử dụng
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,3. Phế liệu giấy,,3.1,47071000,"Giấy kraft hoặc bìa kraft hoặc giấy hoặc bìa sóng, chưa tẩy trắng"
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,3. Phế liệu giấy,,3.2,47072000,"Giấy hoặc bìa khác được làm chủ yếu bằng bột giấy thu được từ quá trình hóa học đã tẩy trắng, chưa nhuộm màu toàn bộ"
QĐ 13/2023/QĐ-TTg,Danh mục phế liệu được phép nhập khẩu,3. Phế liệu giấy,,3.3,47073000,"Giấy hoặc bìa được làm chủ yếu bằng bột giấy thu được từ quá trình cơ học (ví dụ, giấy in báo, tạp chí và các ấn phẩm tương tự)"
